"parkrecordid","recordcode","recordstate","d","entryid","exitid","entrydatasource","exitdatasource","entrytime","exittime","parkid","berthid","carid","platenumber","cartype","carcolor","shouldpay","actualpay","agiopay","illegal","createdtime","operationid","updatedtime","parktype","areaid","parentparkid","tag","mq_time","etl_time","production_time","state","dt"
"1643671896625679908","4711d27d31864ac8835eb77b034fe60b","0","\N","1643670295581368998","1646941905145897816","11","11","2019-09-03 23:50:44","2019-10-10 02:31:34","1620810341778735108","1620810593634093391","1968666809750490624","冀GAG731","0","\N","0","0","0","\N","2019-09-04 00:21:12","1593521378449416192","2019-10-10 02:36:35","1","281479271743488","1620806943859818498","update","1570646195639","2019-10-11 00:56:51","1570646195621","1","20191010"
"1645368878691078064","cbd8685d8d54422e817bdff1253f1a61","0","\N","1645368878676388083","1646953957827629126","11","11","2019-09-22 17:48:55","2019-10-10 05:43:07","1636131516218741318","1636738810451247331","1966459230920151552","京QHG779","0","\N","0","0","0","\N","2019-09-22 17:54:01","1593521378449416192","2019-10-10 05:53:50","1","281479272005632","1636128449978044980","update","1570658030673","2019-10-11 00:56:51","1570658030663","1","20191010"
"1645633873666283043","44110bae5e9f4779a357b179bd9700e5","0","\N","1645633873657024890","1646990234347198500","11","11","2019-09-25 16:00:58","2019-10-10 15:19:44","1637298046923052499","1637298185129609147","1966437003113828608","京LAR377","0","\N","0","0","0","\N","2019-09-25 16:06:00","1593521378449416192","2019-10-10 15:24:45","1","281479272005632","1637291840635540865","update","1570692285915","2019-10-11 00:56:51","1570692285908","1","20191010"
"1645638796805050348","0e92f4be62fd4260ad84d32ea1cd1977","0","\N","1645637928631491012","1646967085156083430","11","9","2019-09-25 17:04:58","2019-10-10 09:05:38","1619821003184029744","1621627467912286975","1966446863234682368","京N5NF81","0","\N","0","0","0","\N","2019-09-25 17:24:15","1593521378449416192","2019-10-10 09:16:49","1","281479272136704","1619641467715731732","update","1570670209145","2019-10-11 00:56:51","1570670209128","1","20191010"
"1645711550514366149","1d12aa1a12394dd8a072a55d3d7e46c9","0","\N","1645711550503004861","1646965301870143811","11","11","2019-09-26 12:35:36","2019-10-10 08:43:26","1636125944146694671","1636125996219023483","1966446454201946624","京NTZ979","0","\N","0","0","0","\N","2019-09-26 12:40:38","1593521378449416192","2019-10-10 08:48:28","1","281479272005632","1636123224909156849","update","1570668508460","2019-10-11 00:56:51","1570668508453","1","20191010"
"1645719097820485776","e4fe154573f9499d83a34ddae3044b25","0","\N","1645719097816473024","1646960449209325738","9","12","2019-09-26 13:49:03","2019-10-10 07:29:19","1636131516218741318","1636738775629086931","1966428309561069184","京JDP282","0","\N","0","0","0","\N","2019-09-26 14:40:36","1593521378449416192","2019-10-10 07:31:20","1","281479272005632","1636128449978044980","update","1570663880609","2019-10-11 00:56:51","1570663880598","1","20191010"
"1645776419459598145","ef8b4c2598a44a4b98e72f840ca6ee57","0","\N","1645776419449295458","1647009068600876027","11","11","2019-09-27 05:46:39","2019-10-10 20:19:05","1622078786553806866","1622078913176758403","1972590663153717632","皖CX1938","0","\N","0","0","0","\N","2019-09-27 05:51:42","1593521378449416192","2019-10-10 20:24:07","1","281479271743488","1621185167084241032","update","1570710247673","2019-10-11 00:56:51","1570710247662","1","20191010"
"1645878551383808561","b6851c503bc9409da4804b4d250066a2","0","\N","1645878551374552565","1647021335548613368","11","9","2019-09-28 08:49:57","2019-10-10 22:27:50","1637216285738276002","1637216301759514324","1966455724605705728","京P7A251","0","\N","0","0","0","\N","2019-09-28 08:55:02","1593521378449416192","2019-10-10 23:39:06","1","281479272005632","1637216137219019929","update","1570721946354","2019-10-11 00:56:51","1570721946340","1","20191010"
"1645973523378373806","8179f85653584f058a24868ed97f04a5","0","\N","1645973523363877453","1646983568703707148","11","11","2019-09-29 09:59:33","2019-10-10 13:33:47","1622620813998965419","1622621325621201295","1966446660588867840","京NZ0Q17","0","\N","0","0","0","\N","2019-09-29 10:04:35","1593521378449416192","2019-10-10 13:38:49","1","281479271743488","1622619016330756768","update","1570685929064","2019-10-11 00:56:51","1570685929060","1","20191010"
"1645994864727129403","a08aacbf43ee4937b04c43f679766b5d","0","\N","1645994864712441807","1646970856806361236","11","11","2019-09-29 15:38:42","2019-10-10 10:11:42","1621239532855771319","1622059527343794043","1966446385207660928","京NRY628","0","\N","0","0","0","\N","2019-09-29 15:43:47","1593521378449416192","2019-10-10 10:16:46","1","281479271809024","1621239431020167350","update","1570673806078","2019-10-11 00:56:51","1570673806060","1","20191010"
"1646000609096800600","9df77b8d3b074702a974ddb3ac7280ed","0","\N","1646000609085433592","1646987904394538124","11","11","2019-09-29 17:10:02","2019-10-10 14:42:39","1636128554653192757","1636735488290897948","1966437520923726336","京LP0279","0","\N","0","0","0","\N","2019-09-29 17:15:06","1593521378449416192","2019-10-10 14:47:43","1","281479272005632","1636128449978044980","update","1570690063901","2019-10-11 00:56:51","1570690063892","1","20191010"
"1646098682650391766","f9b544ed7b1d486cb7dd6232c133016f","0","\N","1646098682636752347","1646959947443688809","11","11","2019-09-30 19:08:54","2019-10-10 07:18:20","1622909195003118320","1622909210222134955","1966446312994344320","京NPL430","0","\N","0","0","0","\N","2019-09-30 19:13:56","1593521378449416192","2019-10-10 07:23:22","1","281479271743488","1622891088433922774","update","1570663402088","2019-10-11 00:56:51","1570663402070","1","20191010"
"1646114254044700160","3872d4c96d2b44c5afbda171758ca5a3","0","\N","1646114254034391533","1646987111677385075","12","9","2019-09-30 23:16:21","2019-10-10 14:04:50","1636128554653192757","1636735433008926711","1966459819601105152","京QYX817","0","\N","0","0","0","\N","2019-09-30 23:21:26","1593521378449416192","2019-10-10 14:35:11","1","281479272005632","1636128449978044980","update","1570689311577","2019-10-11 00:56:51","1570689311565","1","20191010"
"1646184653738645357","147dfa35488f4ed1a11d496c8288c23d","0","\N","1646184653729387652","1646976369192414993","4","4","2019-10-01 17:59:39","2019-10-10 11:42:40","1621157424742285401","1621157452715132624","1966460093929377408","京Q6V2Q2","0","\N","0","0","0","\N","2019-10-01 18:00:24","1593521378449416192","2019-10-10 11:44:23","2","281479271809024","1621088769134313535","update","1570679063088","2019-10-11 00:56:51","1570679063078","1","20191010"
"1646190994955869661","f7edafde069a4042b433aacea8773d27","0","\N","1646190994944516028","1646994670349000815","11","11","2019-10-01 19:36:08","2019-10-10 16:30:12","1636123342993494514","1636124373472165905","1966446869202932224","京N599T9","0","\N","0","0","0","\N","2019-10-01 19:41:12","1593521378449416192","2019-10-10 16:35:16","1","281479272005632","1636123224909156849","update","1570696516425","2019-10-11 00:56:51","1570696516414","1","20191010"
"1646238468056905032","093f9250b30e4a30896fe30dd31a2610","0","\N","1646238468048495773","1647019445154832015","9","9","2019-10-01 21:14:00","2019-10-10 22:50:50","1637191447359394573","1637191867861486538","1968663415585460608","冀F38B28","0","\N","0","0","0","\N","2019-10-02 08:15:46","1593521378449416192","2019-10-10 23:09:03","1","281479272005632","1637191337112113932","update","1570720143540","2019-10-11 00:56:51","1570720143516","1","20191010"
"1646243000354700109","1e85ed41f12d4b0396b4cd2037d80aec","0","\N","1646243000347350646","1646959190583618339","9","9","2019-10-02 09:11:55","2019-10-10 06:15:20","1621247317182005510","1621264803692372022","1966398421147848320","京C36052","0","\N","0","0","0","\N","2019-10-02 09:27:48","1593521378449416192","2019-10-10 07:11:20","1","281479271809024","1621246474194010363","update","1570662680277","2019-10-11 00:56:51","1570662680266","1","20191010"
"1646246766512348599","887fde94707744d4a59683aa21564b48","0","\N","1646246766504126370","1646960560253510764","11","11","2019-10-02 10:22:29","2019-10-10 07:28:04","1622361766248624195","1622361884626620727","1966446731447177728","京N18ML9","0","\N","0","0","0","\N","2019-10-02 10:27:40","1593521378449416192","2019-10-10 07:33:06","1","281479271809024","1621236720895803558","update","1570663986504","2019-10-11 00:56:51","1570663986494","1","20191010"
"1646247190068032102","9491ee04dd2941f0a78d3a6ae52d1b2e","0","\N","1646247190054382215","1646982612306962624","11","9","2019-10-02 10:29:22","2019-10-10 13:21:10","1637367364356544110","1637367399979863376","1966406286585646464","京ECV560","0","\N","0","0","0","\N","2019-10-02 10:34:24","1593521378449416192","2019-10-10 13:23:36","1","281479272071168","1637366871435646568","update","1570685016971","2019-10-11 00:56:51","1570685016965","1","20191010"
"1646248940099433910","6a77a0bec71e49bca74e3f5298adf14c","0","\N","1646248940093122327","1646959239858301793","9","9","2019-10-02 10:55:45","2019-10-10 06:15:50","1621247317182005510","1621264803850707013","1966446967926476160","京N8TG00","0","\N","0","0","0","\N","2019-10-02 11:02:13","1593521378449416192","2019-10-10 07:12:07","1","281479271809024","1621246474194010363","update","1570662727294","2019-10-11 00:56:51","1570662727259","1","20191010"
"1646257580016485608","67d1601adee249d6a5e04bbd212c9676","0","\N","1646257580005991253","1646984319190509788","11","11","2019-10-02 13:14:30","2019-10-10 13:45:43","1620637221485822056","1622988120721810541","1966428793816436864","京JR1126","0","\N","0","0","0","\N","2019-10-02 13:19:32","1593521378449416192","2019-10-10 13:50:44","1","281479271743488","1620634698643423317","update","1570686644789","2019-10-11 00:56:51","1570686644782","1","20191010"
"1646258266933380604","59a93084396b479bbfb17770ac550fea","0","\N","1646258266912411843","1646965417458870869","12","12","2019-10-02 13:25:23","2019-10-10 08:49:51","1637210832570553313","1637211665731338663","1966446689600426368","京N0G0A8","0","\N","0","0","0","\N","2019-10-02 13:30:27","1593521378449416192","2019-10-10 08:50:18","1","281479272005632","1637210760758825951","update","1570668618702","2019-10-11 00:56:51","1570668618693","1","20191010"
"1646259672052303145","e540908ae0514f6cb5ad8f0e3a5f3f51","0","\N","1646259672035697203","1646933270960351605","11","11","2019-10-02 13:47:44","2019-10-10 00:14:18","1637278795445179664","1637279115156046336","1966460091794526592","京Q6N8T8","0","\N","0","0","0","\N","2019-10-02 13:52:47","1593521378449416192","2019-10-10 00:19:21","1","281479272005632","1637278657118082319","update","1570637961418","2019-10-11 00:56:51","1570637961401","1","20191010"
"1646261306817943250","855e7d81af6d4f2f8cd03c4bd8548706","0","\N","1646261306813929067","1646970951618603411","9","12","2019-10-02 14:18:29","2019-10-10 10:13:10","1622417472772653607","1622417531517010295","1966446896510177408","京N6JA76","0","\N","0","0","0","\N","2019-10-02 14:18:46","1593521378449416192","2019-10-10 10:18:16","1","281479271809024","1622417355432804902","update","1570673896475","2019-10-11 00:56:51","1570673896467","1","20191010"
"1646263302754048515","747660e82f2e49bd9f4f80c02faff5c2","0","\N","1646263302743741609","1646974520350560661","11","9","2019-10-02 14:45:27","2019-10-10 11:13:55","1636131516218741318","1636738810385187037","1966459956754746880","京Q2W0V1","0","\N","0","0","0","\N","2019-10-02 14:50:30","1593521378449416192","2019-10-10 11:14:59","1","281479272005632","1636128449978044980","update","1570677299887","2019-10-11 00:56:51","1570677299878","1","20191010"
"1646265231168323827","e4d85214797a4873a89b6eebbf69c15c","0","\N","1646265231162026288","1646960272844085058","9","11","2019-10-02 09:23:28","2019-10-10 07:23:29","1623432110001898389","1623432166346065355","1966445967790526720","京NFF627","0","\N","0","0","0","\N","2019-10-02 15:21:09","1593521378449416192","2019-10-10 07:28:32","1","281479271743488","1623419803568980857","update","1570663712410","2019-10-11 00:56:51","1570663712401","1","20191010"
"1646279170241427164","7d93097604cf47bcae423b81af7c82f3","0","\N","1646279170228822645","1646966647009663182","11","11","2019-10-02 18:57:40","2019-10-10 09:04:49","1634849132173201463","1634849210951716836","1966459443774558464","京QN50T7","0","\N","0","0","0","0","2019-10-02 19:02:42","1593521378449416192","2019-10-10 09:09:51","1","281479272005632","1634847396417114155","update","1570669791282","2019-10-11 00:56:51","1570669791273","1","20191010"
"1646284784903297220","19b814fadf7348108530f5eb7a5befe6","0","\N","1646284784888797483","1646959213252792373","11","9","2019-10-02 20:26:55","2019-10-10 06:15:50","1621247317182005510","1621264803806666817","1966460094997123584","京Q6ZZ89","0","\N","0","0","0","\N","2019-10-02 20:31:57","1593521378449416192","2019-10-10 07:11:41","1","281479271809024","1621246474194010363","update","1570662702020","2019-10-11 00:56:51","1570662701998","1","20191010"
"1646325965327603886","9aac6e31d9dd40c9a900c9e36118c7f0","0","\N","1646325965317287698","1646968804769342832","11","11","2019-10-03 07:21:27","2019-10-10 09:39:07","1637205703121310585","1637205919279009433","1966433124766633728","京KP7703","0","\N","0","0","0","0","2019-10-03 07:26:29","1593521378449416192","2019-10-10 09:44:09","1","281479272005632","1637203004259701620","update","1570671849075","2019-10-11 00:56:51","1570671849072","1","20191010"
"1646346459511690959","f192f4e4e0994263974396c543fe9db2","0","\N","1646346392513106450","1647016531393860894","12","12","2019-10-03 12:46:06","2019-10-10 22:17:42","1621084372568391717","1621084409608274697","1966459813961928320","京QYC752","0","\N","0","0","0","\N","2019-10-03 12:52:14","1593521378449416192","2019-10-10 22:23:04","1","281479271809024","1621077254349013020","update","1570717384379","2019-10-11 00:56:51","1570717384369","1","20191010"
"1646348291267008837","dd621630265947ad83c28f28ae514dae","0","\N","1646348291256690251","1646982152667879991","11","11","2019-10-03 13:16:19","2019-10-10 13:11:16","1622062087597240341","1622062202303125215","1966459719730450432","京QV92W5","0","\N","0","0","0","\N","2019-10-03 13:21:21","1593521378449416192","2019-10-10 13:16:29","1","281479271809024","1621239431020167350","update","1570684589424","2019-10-11 00:56:51","1570684589414","1","20191010"
"1646350587717829111","4476589d94cf40e9abb459c97a45af1a","0","\N","1646350587707350520","1646973317331886088","11","9","2019-10-03 13:52:50","2019-10-10 10:05:00","1637370580321310383","1637370914465828572","1966446353249095936","京NQ7ZY7","0","\N","0","0","0","\N","2019-10-03 13:57:51","1593521378449416192","2019-10-10 10:55:52","1","281479272071168","1637366871435646568","update","1570676152614","2019-10-11 00:56:51","1570676152600","1","20191010"
"1646352396317455379","4a6cf1a0201d4a32879b90612bb81fea","0","\N","1646352396306962915","1646971413653695769","11","11","2019-10-03 14:21:34","2019-10-10 10:20:35","1637393323130490893","1637393353599009610","1966455518434660352","京P1AW35","0","\N","0","0","0","\N","2019-10-03 14:26:36","1593521378449416192","2019-10-10 10:25:37","1","281479271940096","1637386762236598262","update","1570674337157","2019-10-11 00:56:51","1570674337135","1","20191010"
"1646354202794751697","398d848fc252442ea56136da6073f1d9","0","\N","1646354202788441523","1646990697958287168","9","11","2019-10-03 14:08:45","2019-10-10 15:27:06","1617902846200528945","1621165139682134296","1966454974337044736","京PLV687","0","\N","0","0","0","\N","2019-10-03 14:55:19","1593521378449416192","2019-10-10 15:32:08","1","281479271809024","1617900730022117422","update","1570692728065","2019-10-11 00:56:51","1570692728060","1","20191010"
"1646368668127165486","ddc5b792c72146c38ac9800e74aa706e","0","\N","1646368668120852495","1646993894434220132","9","11","2019-10-03 18:43:15","2019-10-10 16:17:52","1636661558878277667","1636661601563757307","2335714685863027328","鄂HD012警","0","\N","0","0","0","\N","2019-10-03 18:45:14","1593521378449416192","2019-10-10 16:22:56","1","281479272005632","1636658439046959106","update","1570695776445","2019-10-11 00:56:51","1570695776439","1","20191010"
"1646414936261958983","7582f8e0a49d4344b457cc60cc643944","0","\N","1646414936251638162","1646999871727425915","12","12","2019-10-04 06:55:35","2019-10-10 17:52:54","1622612568650564235","1622613728852707224","1966446215780831616","京NM7L18","0","\N","0","0","0","\N","2019-10-04 07:00:39","1593521378449416192","2019-10-10 17:57:56","1","281479271743488","1622612396775326345","update","1570701476911","2019-10-11 00:56:51","1570701476838","1","20191010"
"1646415575445762662","2efeedb102fc40aa989e6391a6f97faa","0","\N","1646415575439450874","1646973110881955209","9","11","2019-10-03 20:25:00","2019-10-10 10:47:34","1622803574386622574","1622803589608121286","1966419757473665024","京HK2115","0","\N","0","0","0","\N","2019-10-04 07:10:48","1593521378449416192","2019-10-10 10:52:35","1","281479271809024","1621247231206113540","update","1570675955718","2019-10-11 00:56:51","1570675955710","1","20191010"
"1646425667236694551","d783549f603d4fa9a0be9b7663027a63","0","\N","1646425628241384929","1646999618714425018","12","9","2019-10-04 09:45:31","2019-10-10 17:44:46","1621239532855771319","1622059702292408195","1966459341198921088","京QK7K90","0","\N","0","0","0","\N","2019-10-04 09:51:13","1593521378449416192","2019-10-10 17:53:55","1","281479271809024","1621239431020167350","update","1570701235550","2019-10-11 00:56:51","1570701235536","1","20191010"
"1646427970264203262","3dedfcc5d2804da8877ed2668b58098f","0","\N","1646427970246366211","1647000457108610555","11","11","2019-10-04 10:22:45","2019-10-10 18:02:12","1637296279813494208","1637296315871971056","1966455009980255744","京PM0E91","0","\N","0","0","0","\N","2019-10-04 10:27:49","1593521378449416192","2019-10-10 18:13:52","1","281479271874560","1637291267289912677","update","1570702432101","2019-10-11 00:56:51","1570702432093","1","20191010"
"1646432604357563115","88e07c029a994946a49bb1df86f1e14e","0","\N","1646432604345160065","1646963585501179066","11","11","2019-10-04 11:36:26","2019-10-10 08:16:09","1617911062210822324","1623149560829316052","1966459340707761920","京QK56J3","0","\N","0","0","0","\N","2019-10-04 11:41:28","1593521378449416192","2019-10-10 08:21:11","1","281479271743488","1617910936966807730","update","1570666871602","2019-10-11 00:56:51","1570666871589","1","20191010"
"1646441215803687812","0c57d20c5dfb43648588cae3a44c54b6","0","\N","1646441215792325869","1646971194978422999","11","11","2019-10-04 13:53:17","2019-10-10 10:17:03","1635585948170981627","1635585998717634186","1966446591840112896","京NX0C67","0","\N","0","0","0","\N","2019-10-04 13:58:21","1593521378449416192","2019-10-10 10:22:08","1","281479272005632","1635584897720127727","update","1570674128563","2019-10-11 00:56:51","1570674128553","1","20191010"
"1646455581790866228","e8c69925ee1e4362a874767a6cc7fd65","0","\N","1646455581780562055","1646959406962528692","11","11","2019-10-04 17:41:40","2019-10-10 07:09:45","1637381405175060287","1637381431686251482","1966407183430520832","京E28615","0","\N","0","0","0","\N","2019-10-04 17:46:41","1593521378449416192","2019-10-10 07:14:46","1","281479272071168","1637371616380458681","update","1570662886654","2019-10-11 00:56:51","1570662886643","1","20191010"
"1646458559070375891","197ae99a3a1d4bc4b84a3221acad5964","0","\N","1646458559060061044","1646969076627351634","12","12","2019-10-04 18:28:58","2019-10-10 09:48:11","1637386675783604210","1637387217198041643","1966446040542876032","京NHU958","0","\N","0","0","0","\N","2019-10-04 18:34:01","1593521378449416192","2019-10-10 09:48:31","1","281479271940096","1637384727422441395","update","1570672111549","2019-10-11 00:56:51","1570672111545","1","20191010"
"1646460022271155982","2e5b4100d408497f9cb2654c7dfd582e","0","\N","1646460022260849550","1646958878075464032","12","12","2019-10-04 18:52:13","2019-10-10 07:05:50","1637191447359394573","1637191867720977344","1966446593714867968","京NX7A03","0","\N","0","0","0","\N","2019-10-04 18:57:16","1593521378449416192","2019-10-10 07:06:22","1","281479272005632","1637191337112113932","update","1570662382253","2019-10-11 00:56:51","1570662382243","1","20191010"
"1646468862217718730","abb35664c2344b178d53ffc60dd2434d","0","\N","1646468862206368136","1646984673684705755","11","9","2019-10-04 21:12:45","2019-10-10 13:26:15","1637209724952384439","1637209796110893151","1966446145752715648","京NK2108","0","\N","0","0","0","\N","2019-10-04 21:17:47","1593521378449416192","2019-10-10 13:56:22","1","281479272005632","1637205058197787512","update","1570686982926","2019-10-11 00:56:51","1570686982913","1","20191010"
"1646524518900597596","070489367cb74843b81f9e0b0c486eab","0","\N","1646524518889247623","1646971655976473790","11","11","2019-10-05 11:57:23","2019-10-10 10:24:26","1622976058723681043","1622976279300016623","1966446213885088000","京NM0D67","0","\N","0","0","0","\N","2019-10-05 12:02:25","1593521378449416192","2019-10-10 10:29:28","1","281479271809024","1622975955065651986","update","1570674568214","2019-10-11 00:56:51","1570674568208","1","20191010"
"1646527211349117017","cbe9c1aa82de46039ad500f2bb1bd01f","0","\N","1646527211319941032","1646968201840238834","11","11","2019-10-05 12:40:09","2019-10-10 09:29:30","1622806975950389359","1623009355293877619","1966441816161522176","京MM1359","0","\N","0","0","0","\N","2019-10-05 12:45:13","1593521378449416192","2019-10-10 09:34:34","1","281479271743488","1620806943859818498","update","1570671274112","2019-10-11 00:56:51","1570671274085","1","20191010"
"1646531253101228215","634c5272a79444d6a63e52a783a87ff1","0","\N","1646531247101269477","1646966518898827979","11","9","2019-10-05 13:44:17","2019-10-10 09:06:33","1623347515675672721","1623528746326829253","1966438107467665408","京L69805","0","\N","0","0","0","\N","2019-10-05 13:49:27","1593521378449416192","2019-10-10 09:07:49","1","281479271743488","1621183407596781693","update","1570669669107","2019-10-11 00:56:51","1570669669100","1","20191010"
"1646531930032522320","3f3c42f377d6414ea3dcf7e3d9d85583","0","\N","1646531930020993847","1646994783038415369","11","11","2019-10-05 13:55:10","2019-10-10 16:32:01","1636860605594472868","1636861547057431120","1979953194589524224","甘M3K077","0","\N","0","0","0","\N","2019-10-05 14:00:13","1593521378449416192","2019-10-10 16:37:03","1","281479272005632","1636857280853578132","update","1570696623898","2019-10-11 00:56:51","1570696623887","1","20191010"
